,v_const,a_const,smooth
338,-8.393691323478048e-06,0.004038007560733923,0.0002388973440991251
339,1.4850376913777231e-05,0.0041019286355732975,0.00024470836026723646
340,1.4850376913777231e-05,0.004107739642292737,0.0002505193764206464
341,3.2283428246606827e-06,0.004206526754379045,0.00024470836026723646
342,-2.5826742420259e-06,0.004223959773738782,0.00026214140868335384
343,3.2283428246606827e-06,0.004311124868648205,0.00027957445696721444
344,3.2283428246606827e-06,0.004276258831062176,0.00029700750511882617
345,-2.5826742420259e-06,0.004375045936248636,0.0003028185211399873
346,9.039359876589716e-06,0.004450589013960573,0.00032025156911535816
347,2.0661393936175134e-05,0.004468022031558999,0.00033187360102547163
348,-8.393691323478048e-06,0.004468022031558999,0.00034930664878056147
349,-2.0015725530687057e-05,0.0045493761120248034,0.0003376846169585364
350,1.4850376913777231e-05,0.004636541195206087,0.00036092868054389305
351,4.3905461878239344e-05,0.004671407227601105,0.0003434956328768916
352,1.4850376913777231e-05,0.004706273259495041,0.00036092868054389305
353,-8.393691323478048e-06,0.004741139290888101,0.0003667396964035227
354,9.039359876589716e-06,0.004851548386997678,0.00039579477548159836
355,3.2283428246606827e-06,0.0048573593919171215,0.0004190388384799557
356,3.2283428246606827e-06,0.004868981401714414,0.0004190388384799557
357,9.039359876589716e-06,0.004967768482749772,0.00043066086989111007
358,9.039359876589716e-06,0.004985201496633985,0.0004364718855747073
359,2.0661393936175134e-05,0.005031689533048663,0.00046552696377266065
360,3.2283428246606827e-06,0.0051188545989365435,0.0004887710260671446
361,9.039359876589716e-06,0.005165342632803289,0.00048296001051551565
362,-8.393691323478048e-06,0.005264129701831612,0.0005003930571264585
363,9.039359876589716e-06,0.005246696689940358,0.0005178261036055213
364,9.039359876589716e-06,0.005246696689940358,0.0005120150881271511
365,-8.393691323478048e-06,0.005374538774256797,0.0005294481345183178
366,9.039359876589716e-06,0.005455892824435853,0.0005294481345183178
367,3.2283428246606827e-06,0.0054849478417022665,0.0005701252422516858
368,-2.5826742420259e-06,0.005490758845114211,0.0005759362575836028
369,-2.5826742420259e-06,0.005572112891435809,0.0005933693034914979
370,2.0661393936175134e-05,0.005624411919789732,0.0006398574252686115
371,9.039359876589716e-06,0.005688332952932127,0.0006398574252686115
372,3.2283428246606827e-06,0.0057406319788121055,0.0006631014858060413
373,1.4850376913777231e-05,0.0057987420062633995,0.000651479455566577
374,3.2283428246606827e-06,0.005845230027236639,0.0006805345310555622
375,3.2283428246606827e-06,0.0059149620570513725,0.0006747235159869964
376,3.2283428246606827e-06,0.0059091510546421715,0.0006921565611487896
377,9.039359876589716e-06,0.0060369931044818165,0.0007095896061789914
378,1.4850376913777231e-05,0.006100914126918688,0.0007270226510776496
379,9.039359876589716e-06,0.006153213144046197,0.0007618887404804483
380,-8.393691323478048e-06,0.006089292122962282,0.0007618887404804483
381,-8.393691323478048e-06,0.006246189171764403,0.0007851327997901478
382,-2.5826742420259e-06,0.006408897211871995,0.000796754829357378
383,9.039359876589716e-06,0.0063624092015025155,0.0008432429470423458
384,1.4850376913777231e-05,0.006472818224707874,0.0008258099030199541
385,-2.5826742420259e-06,0.006472818224707874,0.0008548649763176556
