,v_const,a_const,smooth,integrated_v_const,integrated_a_const,integrated_smooth
269,-0.01633333333333333,0.3363333333333333,0.2856666666666667,0.14005670338683357,0.09039233333333332,0.09843816728733334
270,-0.016666666666666666,0.33566666666666667,0.284,0.13924637005533358,0.09106433333333333,0.09913442642
271,-0.016666666666666666,0.3346666666666666,0.2816666666666666,0.1384278515386669,0.09173466666666666,0.09982579666466668
272,-0.016666666666666666,0.33166666666666667,0.2803333333333333,0.13760933302200024,0.092401,0.10051268542866668
273,-0.016666666666666666,0.3303333333333333,0.2793333333333334,0.13679081450533356,0.09306299999999999,0.10119672234133334
274,-0.016666666666666666,0.3283333333333333,0.2776666666666667,0.1359722959886669,0.09372166666666666,0.10187749999533334
275,-0.016666666666666666,0.32599999999999996,0.27466666666666667,0.13515377747200022,0.094376,0.10255257394666667
276,-0.016666666666666666,0.323,0.27299999999999996,0.13433525895533355,0.095025,0.10322194419533334
277,-0.01633333333333333,0.3223333333333333,0.27066666666666667,0.13352492562383356,0.09567033333333333,0.10388642555600001
278,-0.01633333333333333,0.32,0.2693333333333333,0.13272277747750022,0.09631266666666666,0.10454642543600001
279,-0.01633333333333333,0.31799999999999995,0.2673333333333333,0.13192062933116688,0.09695066666666666,0.10520235124266668
280,-0.016666666666666666,0.3156666666666667,0.266,0.1311102959996669,0.09758433333333333,0.10585420297600001
281,-0.016,0.314,0.264,0.13030814785333356,0.098214,0.10650198063600001
282,-0.016666666666666666,0.31166666666666665,0.262,0.12950599970700022,0.09883966666666666,0.10714486940800001
283,-0.01633333333333333,0.31,0.25966666666666666,0.12869566637550023,0.09946133333333333,0.10778246188466668
